Page,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit
/dataset/covid-19--support-for-businesses?fbclid=IwAR3y1-LBnkP7kFE1_vLiipLC6fAThMdnyuXor9uyuY_Q_u1EYtRUx-IYIKA,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR3Z1th-W5GO12KfAK9RPxVLUy22_fh5iagmEqpLbTRbrwNJ-lRR_TrCF7M,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR0DbjpvTa8iR6nlsr44SUmIdoaf1PH4JiwMGop_khTSmb-Zo0TtA47N8Mo,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR0dqqAPFwbnG_wYQFLyh2-VGvLf_LxyEso4ikVfFvgIXPSHxcg7sHYtMK4,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR1NDsGqPRrZA7FHjmsSM88N2pS0amZLa74_btB7vuUASkpK1ZlApFQ8vBM,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR222gD06LBvSkeJPa_BqidOq0kmiC1Z9-HD5MPA8yZ-VKzG-DGTRVSpzRA,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR2737SggkRsTxgdzQemHQbgq0RqRhXIAUNVutAmDrTLiCNL_NkdMqAqQGI,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR28cfOCW3sp7NJVocih6ho05TQ5YGTD_z94nZdGI52pZWcxgx5--yYkiTg,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR2hFpc77Zw_C0_DH3cm34K3d9OGGF0nJKowxdJLCX6vut3mcnGDi7XSwtY,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR2Kjgo-LjbQLwZppN_WgphN1E9Dvu1isEe8ddY-WLGIMekTDSm8xhxg3R8,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR2l0UQ075exRuRAaBNnQh8lwULRPnZFbYaD1_UegNhMlZxWCVqlAODdsUI,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR2UUYcuhG72tPqHc256jJrKzsF4Kzk1ZVPitsVfyc4azP9JDPfUvU2qbhA,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR3SthCmLk_uKyY-yRlB_-Ueov8cnhXN2gCWLSRlf66l70yzsVYjZlcpEII,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19–support-for-businesses?fbclid=IwAR3w5GLgHVVP11n9axBTzXOE4fDBWMpwY_xXGpuShgnAw4MFzXn-E5HkEos,1,1,00:00:00,100.00%,100.00%
/dataset/crime-and-safety-data?resource=a1688e48-8100-4e04-9530-80e1159eacae,1,1,00:00:00,100.00%,100.00%
/dataset/customer-contact,1,1,00:00:00,100.00%,100.00%
/dataset/defibrillators?fbclid=IwAR2960xBQApTfqLKPbURRFWj5BM-6oa_8FZhONC6Me6A4XopF-j8NHssLXM,1,1,00:00:00,100.00%,100.00%
/dataset/digital-inclusion-profiles,1,1,00:01:04,0.00%,0.00%
/dataset/disabled-facilities-grants-,1,1,00:00:00,100.00%,100.00%
/dataset/distinctiveness,1,1,00:00:01,0.00%,0.00%
/dataset/distinctiveness-2020,1,1,00:00:00,0.00%,100.00%
/dataset/electors-by-ward,1,1,00:00:03,0.00%,0.00%
/dataset/electric-vehicle-charging-points?resource=09453bdb-0e20-4f94-81b6-183cc3a52d38,1,1,00:00:00,100.00%,100.00%
/dataset/elland-ward?resource=23301e51-a25a-4fb5-b6a8-32b9f607ef3f,1,1,00:00:01,0.00%,0.00%
/dataset/emergency-school-closures,1,1,00:00:04,0.00%,0.00%
/dataset/energy-performance-of-buildings,1,1,00:00:00,100.00%,100.00%
/dataset/enterprising-and-talented,1,1,00:00:00,0.00%,100.00%
/dataset/environmental-permits,1,1,00:00:00,100.00%,100.00%
/dataset/fees-and-charges,1,1,00:00:00,100.00%,100.00%
/dataset/flood-data?resource=8eed8505-1d02-4a3f-82bf-a565fb4c27a8,1,1,00:00:00,100.00%,100.00%
/dataset/flood-data/resource/8eed8505-1d02-4a3f-82bf-a565fb4c27a8,1,1,00:00:00,100.00%,100.00%
/dataset/fly-tipping,1,1,00:00:00,100.00%,100.00%
/dataset/food-banks----free-meals-in-calderdale-?fbclid=IwAR3MmZsC8Z1wWs_A0wB-xEHSyaT0AyIirKjAl0bVPeYaYy_txibteH3oNiA,1,1,00:00:00,100.00%,100.00%
/dataset/food-banks----free-meals-in-calderdale-?resource=446960ff-899f-40bd-a15b-4c033637ab16,1,1,00:00:00,0.00%,100.00%
/dataset/grants?resource=7335da02-86da-4df3-87cf-99eeffee053e,1,1,00:00:00,100.00%,100.00%
/dataset/greenbelt---udp,1,1,00:00:00,100.00%,100.00%
/dataset/health-and-safety---violence-and-aggression,1,1,00:03:24,0.00%,0.00%
/dataset/health-and-safety-accident-information,1,1,00:00:00,100.00%,100.00%
/dataset/hipperholme-and-lightcliffe-ward?q=hipp,1,1,00:00:00,0.00%,100.00%
/dataset/homelessness-from-april-2018,1,1,00:00:25,0.00%,0.00%
/dataset/insurance-claims,1,1,00:00:00,100.00%,100.00%
/dataset/library-visits,1,1,00:05:58,0.00%,0.00%
/dataset/locality-reach-areas-of-public-amenities?q=reach,1,1,00:00:00,100.00%,100.00%
/dataset/lower-super-output-areas-by-postcode?resource=fdfa0fca-28fa-49bf-bdfe-9fb1e53fba83,1,1,00:00:00,100.00%,100.00%
/dataset/luddendenfoot-ward?q=ludd,1,1,00:00:00,100.00%,100.00%
/dataset/metro-cards-use-and-savings,1,1,00:00:00,100.00%,100.00%
/dataset/metro-cards-use-and-savings?q=metro,1,1,00:00:00,100.00%,100.00%
/dataset/mot-vehicle-testing-stations,1,1,00:00:00,100.00%,100.00%
/dataset/national-public-transport-access-nodes--naptan,1,1,00:00:00,100.00%,100.00%
/dataset/new-business-rates-accounts-created,1,1,00:00:00,100.00%,100.00%
/dataset/new-business-rates-accounts-created?resource=18346b8e-ada8-4ea6-91ed-fee6c73bb095,1,1,00:00:00,100.00%,100.00%
/dataset/new-business-rates-accounts-created?resource=1add06df-c8d8-415a-ae6d-cfff4558b8f0,1,1,00:00:00,100.00%,100.00%
/dataset/new-business-rates-accounts-created?resource=92e622ca-a861-4f3c-be6b-41fce87d1d92,1,1,00:00:00,100.00%,100.00%
/dataset/northowram-and-shelf-ward?resource=fa554261-f0ea-44a0-a846-3e0b22f1af4f,1,1,00:00:01,0.00%,0.00%
/dataset/open-active,1,1,00:15:02,0.00%,0.00%
/dataset/open-postcode-geo2,1,1,00:00:05,0.00%,0.00%
/dataset/open-postcode-geo2/resource/3d1d0a42-79f7-4ce9-8006-d92df6f4bbec,1,1,00:00:00,100.00%,100.00%
/dataset/parish-boundaries,1,1,00:00:00,100.00%,100.00%
/dataset/parking-spaces-calderdale,1,1,00:00:00,100.00%,100.00%
/dataset/parkingaccount,1,1,00:00:00,100.00%,100.00%
/dataset/parks-and-gardens,1,1,00:05:24,0.00%,0.00%
/dataset/places-of-worship-in-calderdale,1,1,00:00:00,100.00%,100.00%
/dataset/planning-applications-calderdale?resource=15eae16d-bc2d-4d74-9028-037c95ca0c53,1,1,00:00:00,100.00%,100.00%
/dataset/planning-applications-calderdale?resource=a56c2683-ced1-4515-b0bf-9cfe057f0f17,1,1,00:00:00,0.00%,100.00%
/dataset/planning-applications-calderdale/resource/a56c2683-ced1-4515-b0bf-9cfe057f0f17,1,1,00:01:24,0.00%,0.00%
/dataset/polling-station-districts,1,1,00:00:00,100.00%,100.00%
/dataset/polling-stations,1,1,00:00:00,100.00%,100.00%
/dataset/population-projection,1,1,00:00:00,0.00%,100.00%
/dataset/pot-holes,1,1,00:00:00,100.00%,100.00%
/dataset/public-food-register?resource=485165a3-530a-4885-b2f5-e32f966a0c0d,1,1,00:00:00,100.00%,100.00%
/dataset/public-toilets-calderdale/resource/0c47982e-8cb9-4ae1-a389-83cefc50f7c7,1,1,00:00:00,100.00%,100.00%
/dataset/recycling-and-household-waste,1,1,00:00:00,0.00%,100.00%
/dataset/road-maintenance-and-repairs,1,1,00:00:00,100.00%,100.00%
/dataset/road-safety-training-delivered-in-calderdale-primary-schools-2015-2016,1,1,00:00:00,0.00%,100.00%
/dataset/salary-scales?resource=5bcbd3b3-16a5-4383-b723-3aafcce25e4b,1,1,00:00:00,100.00%,100.00%
/dataset/schools-data-by-ward?resource=07172c1a-7290-4441-8e8a-6326a0c54113,1,1,00:00:13,0.00%,0.00%
/dataset/secondary-schools---free-school-meals?resource=78496f0a-4fa2-49c0-80a5-e4adf0f1b7ca,1,1,00:00:00,100.00%,100.00%
/dataset/skate-and-bmx-parks,1,1,00:00:58,0.00%,0.00%
/dataset/skate-and-bmx-parks?resource=de257461-7c7f-4b74-8d67-19866d1c896d,1,1,00:00:00,100.00%,100.00%
/dataset/skircoat-ward?resource=569dc3f2-acd2-4f25-98bb-87f7cdaa16db,1,1,00:00:00,100.00%,100.00%
/dataset/small-business-rate-relief?resource=097fde26-903d-427f-8fbc-1d48af168971,1,1,00:00:00,100.00%,100.00%
/dataset/small-business-rate-relief?resource=34b6b447-f573-4f9a-9212-cc7bf9b441b0,1,1,00:00:00,100.00%,100.00%
/dataset/small-business-rate-relief?resource=8cd0ac2a-89a1-4596-986e-d6b0688de4ba,1,1,00:00:00,100.00%,100.00%
/dataset/small-business-rate-relief?resource=97759c71-7a24-47d9-9974-4473c35dc01f,1,1,00:00:00,100.00%,100.00%
/dataset/small-business-rate-relief?resource=db314302-e27c-4cbd-8bc4-4d61d162da50,1,1,00:00:00,100.00%,100.00%
/dataset/small-business-rate-relief/resource/bd36ab41-d86f-4107-9e4e-4bd3c5474982,1,1,00:00:00,100.00%,100.00%
/dataset/sowerby-bridge-ward?resource=19e41f90-bcf9-4f22-bbb8-daea76243bb1,1,1,00:00:00,100.00%,100.00%
/dataset/special-landscape-area---udp,1,1,00:00:00,100.00%,100.00%
/dataset/state-of-calderdale--grow-the-economy-priority,1,1,00:00:00,100.00%,100.00%
/dataset/state-of-calderdale--reduce-inequalities,1,1,00:00:00,100.00%,100.00%
/dataset/station-usage/resource/32bd8b73-375b-4b7f-bead-414c82eddd77,1,1,00:00:00,100.00%,100.00%
/dataset/stop-smoking-services,1,1,00:01:04,0.00%,0.00%
/dataset/superfast-broadband-postcodes?resource=eac36b9f-1fc8-4841-97bb-573fa3cd45a4,1,1,00:00:00,100.00%,100.00%
/dataset/temporary-accommodation-costs,1,1,00:00:43,0.00%,0.00%
/dataset/the-adult-social-care-framework,1,1,00:01:54,0.00%,0.00%
/dataset/timeline/grants,1,1,00:00:00,100.00%,100.00%
/dataset/timeline/places-of-worship-in-calderdale,1,1,00:00:00,100.00%,100.00%
/dataset/todmorden-ward?resource=756207ff-d3a2-4077-8bd9-f7c090ae3c95,1,1,00:01:52,0.00%,0.00%
/dataset/trade-unions,1,1,00:00:00,100.00%,100.00%
/dataset/trade-unions?resource=4a789e2b-a2f2-47d0-80b2-520368f5b285,1,1,00:00:00,100.00%,100.00%
/dataset/watercourse-reaches,1,1,00:00:00,100.00%,100.00%
/dataset/weekly-markets,1,1,00:00:00,100.00%,100.00%
/dataset/wildflower-sites?resource=efe54869-e106-4e66-b88d-5a23fd09dedb,1,1,00:00:18,0.00%,0.00%
